CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,CustomerAgeCluster
768805383,Existing Customer,45,Male,High School,Married,$60K - $80K,Blue,39,1,3,12691,Fourties
818770008,Existing Customer,49,Female,Graduate,Single,Less than $40K,Blue,44,1,2,8256,Fourties
713982108,Existing Customer,51,Male,Graduate,Married,$80K - $120K,Blue,36,1,0,3418,Fifties
769911858,Existing Customer,40,Female,High School,Unknown,Less than $40K,Blue,34,4,1,3313,Fourties
709106358,Existing Customer,40,Male,Uneducated,Married,$60K - $80K,Blue,21,1,0,4716,Fourties
713061558,Existing Customer,44,Male,Graduate,Married,$40K - $60K,Blue,36,1,2,4010,Fourties
810347208,Existing Customer,51,Male,Unknown,Married,$120K +,Gold,46,1,3,34516,Fifties
818906208,Existing Customer,32,Male,High School,Unknown,$60K - $80K,Silver,27,2,2,29081,Thirties
710930508,Existing Customer,37,Male,Uneducated,Single,$60K - $80K,Blue,36,2,0,22352,Thirties
719661558,Existing Customer,48,Male,Graduate,Single,$80K - $120K,Blue,36,3,3,11656,Fourties
708790833,Existing Customer,42,Male,Uneducated,Unknown,$120K +,Blue,31,3,2,6748,Fourties
710821833,Existing Customer,65,Male,Unknown,Married,$40K - $60K,Blue,54,2,3,9095,Sixties
710599683,Existing Customer,56,Male,College,Single,$80K - $120K,Blue,36,6,0,11751,Fifties
816082233,Existing Customer,35,Male,Graduate,Unknown,$60K - $80K,Blue,30,1,3,8547,Thirties
712396908,Existing Customer,57,Female,Graduate,Married,Less than $40K,Blue,48,2,2,2436,Fifties
714885258,Existing Customer,44,Male,Unknown,Unknown,$80K - $120K,Blue,37,1,2,4234,Fourties
709967358,Existing Customer,48,Male,Post-Graduate,Single,$80K - $120K,Blue,36,2,3,30367,Fourties
753327333,Existing Customer,41,Male,Unknown,Married,$80K - $120K,Blue,34,4,1,13535,Fourties
806160108,Existing Customer,61,Male,High School,Married,$40K - $60K,Blue,56,2,3,3193,Sixties
709327383,Existing Customer,45,Female,Graduate,Married,Unknown,Blue,37,1,2,14470,Fourties
806165208,Existing Customer,47,Male,Doctorate,Divorced,$60K - $80K,Blue,42,2,0,20979,Fourties
708508758,Attrited Customer,62,Female,Graduate,Married,Less than $40K,Blue,49,3,3,1438.3,Sixties
784725333,Existing Customer,41,Male,High School,Married,$40K - $60K,Blue,33,2,1,4470,Fourties
811604133,Existing Customer,47,Female,Unknown,Single,Less than $40K,Blue,36,3,2,2492,Fourties
789124683,Existing Customer,54,Male,Unknown,Married,$80K - $120K,Blue,42,2,3,12217,Fifties
771071958,Existing Customer,41,Female,Graduate,Single,Less than $40K,Blue,28,1,2,7768,Fourties
720466383,Existing Customer,59,Male,High School,Unknown,$40K - $60K,Blue,46,1,2,14784,Fifties
804424383,Existing Customer,63,Male,Unknown,Married,$60K - $80K,Blue,56,3,2,10215,Sixties
718813833,Existing Customer,44,Female,Uneducated,Single,Unknown,Blue,34,2,2,10100,Fourties
806624208,Existing Customer,47,Male,High School,Married,$40K - $60K,Blue,42,0,0,4785,Fourties
778348233,Existing Customer,53,Male,Unknown,Married,$80K - $120K,Blue,33,2,3,2753,Fifties
712991808,Existing Customer,53,Male,Uneducated,Married,$60K - $80K,Blue,48,5,1,2451,Fifties
709029408,Existing Customer,41,Male,Graduate,Married,$60K - $80K,Blue,36,1,2,8923,Fourties
788658483,Existing Customer,53,Female,College,Married,Less than $40K,Blue,38,2,3,2650,Fifties
787937058,Existing Customer,58,Male,Graduate,Married,$80K - $120K,Blue,49,2,2,12555,Fifties
715318008,Existing Customer,55,Female,College,Single,Less than $40K,Blue,36,2,1,3520,Fifties
713962233,Existing Customer,55,Female,Graduate,Married,Less than $40K,Blue,36,2,3,3035,Fifties
785432733,Existing Customer,42,Female,High School,Married,Less than $40K,Gold,36,3,3,15433,Fourties
715190283,Existing Customer,57,Female,Graduate,Unknown,$40K - $60K,Blue,49,3,2,3672,Fifties
708300483,Attrited Customer,66,Female,Doctorate,Married,Unknown,Blue,56,4,3,7882,Sixties
827111283,Existing Customer,45,Male,Graduate,Single,$80K - $120K,Blue,41,2,2,32426,Fourties
758551608,Existing Customer,51,Male,Unknown,Married,$40K - $60K,Blue,44,1,0,6205,Fifties
773146383,Existing Customer,50,Female,College,Single,$40K - $60K,Silver,43,2,3,17304,Fifties
778493808,Existing Customer,49,Male,High School,Married,$60K - $80K,Blue,37,2,1,3906,Fourties
720572508,Existing Customer,38,Female,Graduate,Single,Unknown,Blue,28,3,3,9830,Thirties
712661433,Existing Customer,49,Male,Uneducated,Single,$80K - $120K,Blue,30,2,3,34516,Fourties
789172683,Existing Customer,56,Male,Doctorate,Married,$60K - $80K,Blue,45,2,0,2283,Fifties
738406533,Existing Customer,59,Male,Doctorate,Married,$40K - $60K,Blue,52,2,2,2548,Fifties
799723908,Existing Customer,46,Male,High School,Married,$80K - $120K,Blue,40,3,3,19458,Fourties
771490833,Existing Customer,52,Male,College,Single,$80K - $120K,Blue,40,1,1,4745,Fifties
720756708,Existing Customer,52,Female,Unknown,Married,Less than $40K,Blue,41,3,2,2622,Fifties
779471883,Attrited Customer,54,Female,Graduate,Married,Less than $40K,Blue,40,3,1,1438.3,Fifties
711525033,Existing Customer,66,Female,High School,Married,Less than $40K,Blue,54,4,2,3171,Sixties
712813458,Existing Customer,49,Male,Unknown,Married,$120K +,Blue,36,2,0,19763,Fourties
714374133,Attrited Customer,56,Male,Graduate,Married,$120K +,Blue,36,3,3,15769,Fifties
717891558,Existing Customer,49,Female,Graduate,Unknown,Less than $40K,Blue,36,4,2,3298,Fourties
716632758,Existing Customer,49,Female,Graduate,Single,Less than $40K,Blue,36,2,0,2802,Fourties
768563658,Existing Customer,56,Male,Uneducated,Married,$40K - $60K,Blue,50,2,3,4458,Fifties
711427458,Existing Customer,44,Female,Graduate,Married,Unknown,Blue,35,1,2,6273,Fourties
714091983,Existing Customer,42,Male,High School,Single,$60K - $80K,Blue,34,4,3,3336,Fourties
787584108,Existing Customer,55,Male,Unknown,Married,$80K - $120K,Blue,47,2,3,3436,Fifties
712030833,Attrited Customer,48,Male,Graduate,Married,$60K - $80K,Silver,35,4,4,34516,Fourties
711481533,Existing Customer,39,Male,High School,Divorced,$60K - $80K,Blue,33,3,3,5926,Thirties
710082708,Existing Customer,44,Male,Post-Graduate,Single,$120K +,Blue,32,4,2,23957,Fourties
708155733,Existing Customer,53,Male,High School,Single,$120K +,Blue,44,2,2,14734,Fifties
788979258,Existing Customer,51,Male,Uneducated,Single,$80K - $120K,Silver,38,1,4,34516,Fifties
807986133,Existing Customer,57,Male,College,Married,$60K - $80K,Blue,52,3,3,6584,Fifties
788730933,Existing Customer,44,Female,Uneducated,Single,Less than $40K,Blue,20,3,3,2084,Fourties
711314058,Existing Customer,49,Male,Graduate,Married,$60K - $80K,Blue,32,2,2,1687,Fourties
717975333,Existing Customer,50,Male,Doctorate,Married,$80K - $120K,Blue,38,2,2,25300,Fifties
715971108,Existing Customer,51,Male,Graduate,Single,$120K +,Blue,42,2,3,34516,Fifties
720096558,Existing Customer,55,Female,Graduate,Married,Less than $40K,Blue,42,3,3,2216,Fifties
719580033,Existing Customer,54,Male,Graduate,Unknown,$60K - $80K,Blue,43,2,3,2910,Fifties
820582308,Existing Customer,42,Male,Uneducated,Married,$80K - $120K,Blue,37,2,2,22913,Fourties
789973308,Existing Customer,44,Male,College,Single,$60K - $80K,Blue,35,3,3,24312,Fourties
712876233,Existing Customer,53,Male,Graduate,Single,$80K - $120K,Blue,36,3,2,5272,Fifties
804595158,Existing Customer,44,Female,Graduate,Single,Less than $40K,Blue,36,4,2,7000,Fourties
714826758,Existing Customer,37,Female,Uneducated,Single,Less than $40K,Blue,29,4,2,7038,Thirties
779058108,Existing Customer,49,Male,Graduate,Divorced,$60K - $80K,Blue,30,1,2,2536,Fourties
710790258,Existing Customer,47,Male,Graduate,Married,$80K - $120K,Blue,38,3,2,28904,Fourties
715623483,Existing Customer,47,Male,Graduate,Married,$60K - $80K,Blue,37,4,0,8567,Fourties
715156383,Existing Customer,44,Male,Unknown,Unknown,$120K +,Blue,36,2,2,34516,Fourties
711013983,Attrited Customer,55,Female,Unknown,Married,$40K - $60K,Blue,45,4,3,2158,Fifties
755420433,Existing Customer,59,Female,Graduate,Married,Unknown,Blue,52,3,3,10133,Fifties
794543958,Existing Customer,53,Male,Graduate,Divorced,$80K - $120K,Blue,35,4,2,34516,Fifties
716396358,Existing Customer,52,Male,Graduate,Married,$60K - $80K,Blue,47,3,0,3085,Fifties
715398033,Existing Customer,53,Male,High School,Single,$120K +,Blue,35,2,1,19040,Fifties
711743883,Existing Customer,43,Female,Uneducated,Single,Less than $40K,Blue,35,2,3,4026,Fourties
719720058,Existing Customer,44,Male,High School,Single,$60K - $80K,Blue,31,3,1,12756,Fourties
778992108,Existing Customer,57,Male,Unknown,Married,$120K +,Blue,45,3,3,5266,Fifties
717539808,Existing Customer,51,Female,High School,Single,Less than $40K,Blue,36,2,2,9930,Fifties
714070758,Existing Customer,49,Male,High School,Single,$80K - $120K,Blue,38,3,0,31302,Fourties
714107958,Existing Customer,45,Male,Graduate,Single,$40K - $60K,Blue,36,4,3,6576,Fourties
789140283,Existing Customer,53,Male,Graduate,Single,$80K - $120K,Blue,42,4,1,2664,Fifties
715550508,Existing Customer,45,Female,Unknown,Married,Unknown,Blue,28,1,2,2535,Fourties
719712633,Existing Customer,64,Male,Graduate,Married,Less than $40K,Blue,52,4,3,1709,Sixties
772629333,Existing Customer,45,Male,Graduate,Married,$40K - $60K,Blue,35,4,2,3454,Fourties
720336708,Existing Customer,53,Male,Doctorate,Married,$40K - $60K,Blue,35,3,2,3789,Fifties
802013583,Existing Customer,56,Male,College,Married,$120K +,Blue,50,2,0,9689,Fifties
711887583,Attrited Customer,47,Male,Unknown,Married,$80K - $120K,Blue,37,3,3,5449,Fourties
714778833,Existing Customer,49,Female,College,Single,Unknown,Blue,43,4,0,23032,Fourties
713843283,Existing Customer,41,Female,Unknown,Married,Unknown,Silver,34,3,3,34516,Fourties
779155158,Existing Customer,53,Male,Graduate,Married,$120K +,Blue,34,2,2,2940,Fifties
721091583,Existing Customer,44,Female,Graduate,Single,Less than $40K,Blue,32,3,3,3031,Fourties
713572683,Existing Customer,44,Male,High School,Unknown,$60K - $80K,Blue,25,3,0,1862,Fourties
716657058,Existing Customer,43,Female,Post-Graduate,Married,Less than $40K,Blue,33,3,3,8358,Fourties
779509983,Existing Customer,53,Male,Post-Graduate,Single,$120K +,Blue,36,1,2,34516,Fifties
717929133,Existing Customer,44,Male,Uneducated,Married,$60K - $80K,Blue,36,2,3,14450,Fourties
808284783,Existing Customer,62,Female,Unknown,Married,Less than $40K,Blue,56,0,0,1438.3,Sixties
708476808,Existing Customer,54,Male,Unknown,Divorced,$120K +,Blue,36,3,2,33791,Fifties
710916408,Existing Customer,57,Male,Graduate,Married,$60K - $80K,Blue,39,3,0,8466,Fifties
708492558,Existing Customer,42,Male,Unknown,Married,$60K - $80K,Blue,36,3,3,15088,Fourties
799825758,Existing Customer,42,Male,High School,Divorced,$60K - $80K,Blue,36,1,2,3263,Fourties
718619883,Existing Customer,54,Female,Uneducated,Married,Less than $40K,Blue,36,2,2,1494,Fifties
711844758,Existing Customer,48,Male,Graduate,Single,$80K - $120K,Blue,35,1,0,13551,Fourties
714798783,Existing Customer,49,Male,Graduate,Single,$80K - $120K,Blue,36,2,2,18886,Fourties
826762908,Existing Customer,52,Male,High School,Unknown,$80K - $120K,Blue,48,2,0,11976,Fifties
771894558,Existing Customer,50,Male,High School,Single,$80K - $120K,Blue,39,1,4,9964,Fifties
721074183,Existing Customer,49,Male,Doctorate,Married,$60K - $80K,Blue,36,6,3,24159,Fourties
715259583,Existing Customer,53,Female,High School,Married,Less than $40K,Blue,44,2,3,5362,Fifties
718414008,Existing Customer,50,Male,Graduate,Single,$120K +,Blue,36,2,2,34516,Fifties
719666283,Existing Customer,55,Female,Doctorate,Married,Less than $40K,Blue,36,1,0,3174,Fifties
714877233,Existing Customer,53,Male,High School,Married,$80K - $120K,Blue,47,2,2,12262,Fifties
785387883,Existing Customer,47,Female,High School,Single,$40K - $60K,Blue,41,3,3,3788,Fourties
771075258,Existing Customer,55,Male,College,Single,$120K +,Silver,42,3,2,34516,Fifties
711318033,Existing Customer,47,Male,Graduate,Single,$60K - $80K,Blue,36,2,2,2926,Fourties
783554958,Existing Customer,58,Male,Graduate,Single,$120K +,Blue,52,1,0,32090,Fifties
720201033,Attrited Customer,53,Male,Graduate,Married,$80K - $120K,Blue,41,3,2,11669,Fifties
718039683,Existing Customer,52,Male,High School,Single,$40K - $60K,Blue,45,1,2,13532,Fifties
710806083,Existing Customer,50,Female,Uneducated,Unknown,Less than $40K,Silver,36,2,2,11888,Fifties
714752208,Existing Customer,42,Female,Graduate,Married,Less than $40K,Blue,36,1,2,2393,Fourties
822063408,Existing Customer,43,Male,Unknown,Married,$40K - $60K,Blue,39,1,2,6111,Fourties
714490308,Existing Customer,57,Male,Graduate,Married,$80K - $120K,Blue,46,2,3,19270,Fifties
713356833,Existing Customer,52,Male,Graduate,Married,$80K - $120K,Blue,43,1,4,3710,Fifties
